likes,talking_about_count,created_at
1711974,163193,2012-03-12 22:50:29 +0000
1712221,163193,2012-03-13 00:00:31 +0000
1715497,155300,2012-03-14 00:00:42 +0000
1718478,144041,2012-03-15 00:00:21 +0000
1721168,144041,2012-03-16 00:00:30 +0000
1723931,128046,2012-03-17 00:00:41 +0000
1727329,111349,2012-03-18 00:00:31 +0000
1730157,74674,2012-03-19 00:00:24 +0000
1731432,57443,2012-03-20 00:00:18 +0000
1732630,42007,2012-03-21 00:00:31 +0000
1733947,33130,2012-03-22 00:00:33 +0000
1735307,30166,2012-03-23 00:00:36 +0000
1737660,28432,2012-03-25 00:00:50 +0000
1738446,27892,2012-03-26 00:00:33 +0000
1739884,25468,2012-03-28 00:00:43 +0000
1740596,23919,2012-03-29 00:00:30 +0000
1749768,15152,2012-04-09 21:23:19 +0000
1749851,15152,2012-04-10 00:00:22 +0000
1750445,15152,2012-04-10 18:51:36 +0000
1750611,15152,2012-04-11 00:00:30 +0000
1751408,12495,2012-04-12 00:00:29 +0000
1752229,12136,2012-04-13 00:00:35 +0000
1752980,12743,2012-04-14 02:30:35 +0000
1754002,12710,2012-04-15 00:00:14 +0000
1755079,13739,2012-04-16 00:00:23 +0000
1756006,14237,2012-04-17 00:00:08 +0000
1756952,14616,2012-04-18 00:00:13 +0000
1757971,14898,2012-04-19 00:00:19 +0000
1759081,16368,2012-04-20 00:00:07 +0000
1760082,19316,2012-04-21 00:00:17 +0000
1760803,19316,2012-04-22 00:00:18 +0000
1761483,19316,2012-04-23 00:00:42 +0000
1762145,19924,2012-04-24 00:00:32 +0000
1762182,19924,2012-04-24 01:02:31 +0000
1762224,19924,2012-04-24 02:45:48 +0000
1762781,19650,2012-04-25 00:00:49 +0000
1763494,20075,2012-04-26 00:00:46 +0000
1764134,22905,2012-04-27 00:00:26 +0000
1764798,17496,2012-04-28 00:00:35 +0000
1765306,17294,2012-04-29 00:00:29 +0000
1765890,16333,2012-04-30 00:00:20 +0000
1766463,16133,2012-05-01 00:00:32 +0000
1766978,16133,2012-05-02 00:00:31 +0000
1767492,16133,2012-05-03 00:00:20 +0000
1768043,16133,2012-05-04 00:00:28 +0000
1768626,11973,2012-05-05 00:00:17 +0000
1769246,12045,2012-05-06 00:00:16 +0000
1769718,12385,2012-05-07 00:00:14 +0000
1770174,12308,2012-05-08 00:00:12 +0000
1770806,12190,2012-05-09 00:00:15 +0000
1771408,12378,2012-05-10 00:00:29 +0000
1772074,12703,2012-05-11 00:00:16 +0000
1772825,13538,2012-05-12 00:00:25 +0000
1773511,12643,2012-05-13 00:00:15 +0000
1774455,13808,2012-05-14 00:00:28 +0000
1775209,13782,2012-05-15 00:00:26 +0000
1776081,14124,2012-05-16 00:00:26 +0000
1776942,14895,2012-05-17 00:00:22 +0000
1777833,16430,2012-05-18 00:00:10 +0000
1778614,15978,2012-05-19 00:00:13 +0000
1779443,16757,2012-05-20 00:00:07 +0000
1780252,17432,2012-05-21 00:00:28 +0000
1781020,17670,2012-05-21 23:45:11 +0000
1781023,17670,2012-05-21 23:48:27 +0000
1781029,17670,2012-05-22 00:00:27 +0000
1781838,17670,2012-05-22 21:49:04 +0000
1781840,17670,2012-05-22 21:52:14 +0000
1781893,17670,2012-05-23 00:00:03 +0000
1782625,17572,2012-05-23 19:06:51 +0000
1782693,17572,2012-05-23 20:09:46 +0000
1782831,17572,2012-05-24 00:00:40 +0000
1783849,15934,2012-05-25 00:01:23 +0000
1784627,16987,2012-05-26 00:00:42 +0000
1785379,16653,2012-05-27 00:02:07 +0000
1786216,16653,2012-05-28 00:00:37 +0000
1787143,16270,2012-05-29 00:00:38 +0000
1787958,16292,2012-05-30 00:00:38 +0000
1788728,15694,2012-05-31 00:00:40 +0000
1789588,16786,2012-06-01 00:01:29 +0000
1790404,16738,2012-06-02 00:00:24 +0000
1791133,17105,2012-06-03 00:00:37 +0000
1791910,15995,2012-06-04 00:00:34 +0000
1792908,15934,2012-06-05 00:00:42 +0000
1793908,15951,2012-06-06 00:00:34 +0000
1794796,15951,2012-06-07 00:00:44 +0000
1795687,16330,2012-06-08 00:00:21 +0000
1796495,15090,2012-06-09 00:00:19 +0000
1797253,15686,2012-06-10 00:00:31 +0000
1797996,15686,2012-06-11 00:00:15 +0000
1798739,21977,2012-06-12 00:00:17 +0000
1799453,22152,2012-06-13 00:00:17 +0000
1800190,22536,2012-06-14 00:00:33 +0000
1800885,24722,2012-06-15 00:00:17 +0000
1801607,27771,2012-06-16 00:00:14 +0000
1802484,27120,2012-06-17 00:00:32 +0000
1806028,26643,2012-06-19 00:32:32 +0000
1812978,82034,2012-06-22 00:00:30 +0000
1814451,84993,2012-06-23 00:00:37 +0000
1815648,86948,2012-06-24 00:00:15 +0000
1816845,85722,2012-06-25 00:00:27 +0000
1817974,87816,2012-06-26 00:00:33 +0000
1819060,87576,2012-06-27 00:00:29 +0000
1820145,87576,2012-06-28 00:00:11 +0000
1821257,33118,2012-06-29 00:00:12 +0000
1823040,26625,2012-06-30 09:15:51 +0000
1824345,26625,2012-07-01 00:00:28 +0000
1826276,22125,2012-07-02 00:00:12 +0000
1828741,20719,2012-07-03 00:00:06 +0000
1831612,19644,2012-07-04 00:00:07 +0000
