likes,talking_about_count,created_at
13396064,357878,2012-03-12 22:50:28 +0000
13398960,357878,2012-03-13 00:00:22 +0000
13433514,365928,2012-03-14 00:00:18 +0000
13467398,363948,2012-03-15 00:00:14 +0000
13502542,363948,2012-03-16 00:00:21 +0000
13539781,370282,2012-03-17 00:00:33 +0000
13575956,330124,2012-03-18 00:00:22 +0000
13613662,350798,2012-03-19 00:00:15 +0000
13674871,351204,2012-03-20 00:00:13 +0000
13723792,365960,2012-03-21 00:00:26 +0000
13756718,411143,2012-03-22 00:00:30 +0000
13794170,433241,2012-03-23 00:00:33 +0000
13866450,442408,2012-03-25 00:00:25 +0000
13904168,443310,2012-03-26 00:00:09 +0000
13975901,422158,2012-03-28 00:00:19 +0000
14007259,384667,2012-03-29 00:00:06 +0000
14413295,430408,2012-04-09 21:22:58 +0000
14418630,430408,2012-04-10 00:00:29 +0000
14447507,461085,2012-04-10 18:51:45 +0000
14462510,461085,2012-04-11 00:00:37 +0000
14507627,474812,2012-04-12 00:00:36 +0000
14555369,456650,2012-04-13 00:00:42 +0000
14607365,433386,2012-04-14 02:30:42 +0000
14643845,447341,2012-04-15 00:00:21 +0000
14690245,450515,2012-04-16 00:00:33 +0000
14734812,456059,2012-04-17 00:00:25 +0000
14787192,469696,2012-04-18 00:00:20 +0000
14830638,472981,2012-04-19 00:00:28 +0000
14865496,454445,2012-04-20 00:00:15 +0000
14905329,474768,2012-04-21 00:00:24 +0000
14950319,474768,2012-04-22 00:00:23 +0000
14994210,474768,2012-04-23 00:00:23 +0000
15023603,456643,2012-04-24 00:00:12 +0000
15026334,456643,2012-04-24 01:02:12 +0000
15030981,456643,2012-04-24 02:45:29 +0000
15052316,448606,2012-04-25 00:00:17 +0000
15086824,439832,2012-04-26 00:00:51 +0000
15121359,413523,2012-04-27 00:00:31 +0000
15151334,331947,2012-04-28 00:00:41 +0000
15182825,322843,2012-04-29 00:00:34 +0000
15216131,343552,2012-04-30 00:00:25 +0000
15248470,289717,2012-05-01 00:00:37 +0000
15285748,289717,2012-05-02 00:00:36 +0000
15313687,289717,2012-05-03 00:00:26 +0000
15336275,289717,2012-05-04 00:00:34 +0000
15358181,353160,2012-05-05 00:00:22 +0000
15376497,341778,2012-05-06 00:00:21 +0000
15393972,332822,2012-05-07 00:00:19 +0000
15411332,354114,2012-05-08 00:00:17 +0000
15431867,355178,2012-05-09 00:00:21 +0000
15456623,332031,2012-05-10 00:00:34 +0000
15478194,319373,2012-05-11 00:00:21 +0000
15495266,303683,2012-05-12 00:00:30 +0000
15514776,300142,2012-05-13 00:00:20 +0000
15534641,293158,2012-05-14 00:00:32 +0000
15551272,273455,2012-05-15 00:00:31 +0000
15576485,257911,2012-05-16 00:00:30 +0000
15602117,266911,2012-05-17 00:00:26 +0000
15627197,271627,2012-05-18 00:00:17 +0000
15648024,266569,2012-05-19 00:00:16 +0000
15673221,263874,2012-05-20 00:00:10 +0000
15700409,265454,2012-05-21 00:00:31 +0000
15724984,321666,2012-05-21 23:45:15 +0000
15725095,321666,2012-05-21 23:48:31 +0000
15725436,321666,2012-05-22 00:00:31 +0000
15749897,321666,2012-05-22 21:52:17 +0000
15754228,321666,2012-05-23 00:00:06 +0000
15770364,350092,2012-05-23 19:06:28 +0000
15771616,350092,2012-05-23 20:09:47 +0000
15776900,350092,2012-05-24 00:00:41 +0000
15801898,377401,2012-05-25 00:01:25 +0000
15825532,384050,2012-05-26 00:00:43 +0000
15849978,396194,2012-05-27 00:02:07 +0000
15875936,396194,2012-05-28 00:00:38 +0000
15903560,377121,2012-05-29 00:00:39 +0000
15990470,368151,2012-05-30 00:00:39 +0000
16109915,419985,2012-05-31 00:00:41 +0000
16215665,509588,2012-06-01 00:01:30 +0000
16249940,596435,2012-06-02 00:00:25 +0000
16274418,652282,2012-06-03 00:00:39 +0000
16302939,620453,2012-06-04 00:00:35 +0000
16332934,617672,2012-06-05 00:00:43 +0000
16368637,602739,2012-06-06 00:00:34 +0000
16410759,602739,2012-06-07 00:00:45 +0000
16443477,480031,2012-06-08 00:00:22 +0000
16480174,415396,2012-06-09 00:00:20 +0000
16514693,363302,2012-06-10 00:00:32 +0000
16545061,363302,2012-06-11 00:00:15 +0000
16577970,383033,2012-06-12 00:00:18 +0000
16611382,388554,2012-06-13 00:00:18 +0000
16645423,385436,2012-06-14 00:00:34 +0000
16682772,376320,2012-06-15 00:00:18 +0000
16712854,358939,2012-06-16 00:00:15 +0000
16743038,399772,2012-06-17 00:00:33 +0000
16819284,420578,2012-06-19 00:32:33 +0000
16987507,522034,2012-06-22 00:00:31 +0000
17044082,594355,2012-06-23 00:00:38 +0000
17098420,586826,2012-06-24 00:00:16 +0000
17144912,613607,2012-06-25 00:00:28 +0000
17173280,634840,2012-06-26 00:00:34 +0000
17193932,579540,2012-06-27 00:00:30 +0000
17204566,579540,2012-06-28 00:00:12 +0000
17212376,543857,2012-06-29 00:00:13 +0000
17214699,477603,2012-06-30 09:15:53 +0000
17215983,477603,2012-07-01 00:00:30 +0000
17234980,441447,2012-07-02 00:00:13 +0000
17260346,441447,2012-07-03 00:00:07 +0000
17308648,444615,2012-07-04 00:00:08 +0000
17352793,507497,2012-07-05 00:00:28 +0000
17394514,772076,2012-07-06 00:00:30 +0000
17661278,855552,2012-07-15 10:38:10 +0000
17670298,863842,2012-07-16 00:00:38 +0000
17672312,874671,2012-07-17 00:00:34 +0000
17678175,848975,2012-07-17 18:57:48 +0000
17692862,848975,2012-07-18 00:00:47 +0000
17747252,848975,2012-07-19 00:00:44 +0000
17795814,848975,2012-07-20 00:01:05 +0000
17859260,571562,2012-07-21 00:00:42 +0000
17914617,571562,2012-07-22 00:00:41 +0000
17962868,567240,2012-07-23 00:00:40 +0000
18017896,587986,2012-07-24 00:11:12 +0000
18071098,581731,2012-07-25 00:01:17 +0000
18105011,581731,2012-07-26 00:01:27 +0000
18145284,607285,2012-07-27 00:01:03 +0000
18194835,697941,2012-07-28 00:01:49 +0000
18254301,646274,2012-07-29 00:00:43 +0000
18311924,659124,2012-07-30 00:01:49 +0000
18362209,714337,2012-07-31 00:01:06 +0000
18412061,737361,2012-08-01 00:00:36 +0000
18462628,737361,2012-08-02 00:00:35 +0000
18503051,856829,2012-08-03 00:00:27 +0000
18559047,856829,2012-08-04 00:00:30 +0000
18600992,1167910,2012-08-05 00:00:54 +0000
18656923,1167910,2012-08-06 00:00:52 +0000
18712841,1167910,2012-08-07 00:00:49 +0000
18758567,1266141,2012-08-08 00:00:50 +0000
18813669,1278315,2012-08-09 00:00:28 +0000
18846342,1218106,2012-08-10 00:00:27 +0000
18860322,1218106,2012-08-11 00:00:25 +0000
18924987,920395,2012-08-12 00:01:18 +0000
18982805,838765,2012-08-13 00:00:35 +0000
19031862,850482,2012-08-14 00:00:39 +0000
19080650,850482,2012-08-15 00:00:24 +0000
19138425,850482,2012-08-16 00:00:24 +0000
19200630,1025517,2012-08-17 00:00:21 +0000
19282263,1186038,2012-08-18 00:00:36 +0000
19369195,1186038,2012-08-19 00:00:23 +0000
19437970,1416055,2012-08-20 00:00:29 +0000
19509663,1619588,2012-08-21 00:00:23 +0000
19605324,1619588,2012-08-22 00:00:25 +0000
19674904,1796983,2012-08-23 00:00:23 +0000
19757992,1783261,2012-08-24 00:00:22 +0000
19798209,1783261,2012-08-25 00:00:21 +0000
19833966,1623860,2012-08-26 00:00:19 +0000
19864175,1623860,2012-08-27 00:00:33 +0000
19905021,1623860,2012-08-28 00:00:29 +0000
19943634,1352875,2012-08-29 00:00:22 +0000
19973693,1267023,2012-08-30 00:00:38 +0000
20003207,1472294,2012-08-31 00:00:16 +0000
20033926,1667650,2012-09-01 00:00:35 +0000
20074724,1811196,2012-09-02 00:00:14 +0000
20116343,2042601,2012-09-03 00:00:27 +0000
20124758,2174574,2012-09-04 00:00:16 +0000
20152297,2318126,2012-09-05 00:00:28 +0000
20208690,2523583,2012-09-06 00:00:16 +0000
20263385,2401962,2012-09-07 00:00:25 +0000
20322507,2304676,2012-09-08 00:00:28 +0000
20398663,2229532,2012-09-09 00:00:26 +0000
20475608,2229532,2012-09-10 00:00:35 +0000
20537894,2240757,2012-09-11 00:00:25 +0000
20605124,2240757,2012-09-12 00:00:15 +0000
20686062,2044662,2012-09-13 00:00:13 +0000
20722267,2263426,2012-09-14 00:00:21 +0000
20756122,2263426,2012-09-15 00:00:17 +0000
20796768,2139339,2012-09-16 00:00:13 +0000
20840485,1978816,2012-09-17 00:00:26 +0000
20887081,1913325,2012-09-18 00:00:15 +0000
20960471,1913325,2012-09-19 00:00:18 +0000
21057942,1733837,2012-09-20 00:00:12 +0000
21137143,1430436,2012-09-21 00:00:28 +0000
21218268,1445873,2012-09-22 00:00:16 +0000
21302759,1555704,2012-09-23 00:00:28 +0000
21386322,1555704,2012-09-24 00:00:14 +0000
21456057,1802868,2012-09-25 00:00:24 +0000
21540545,2119344,2012-09-26 00:00:32 +0000
21621917,2391808,2012-09-27 00:00:40 +0000
21702693,2668563,2012-09-28 00:00:50 +0000
21752885,2887468,2012-09-29 00:00:47 +0000
21820715,2866075,2012-09-30 00:01:08 +0000
21919749,2819083,2012-10-01 00:00:49 +0000
21977789,2615549,2012-10-02 00:00:51 +0000
22055551,2416964,2012-10-03 00:00:53 +0000
22122314,2182548,2012-10-04 00:00:59 +0000
22181674,1872596,2012-10-05 00:00:49 +0000
22237661,1536903,2012-10-06 00:01:04 +0000
22298503,1442868,2012-10-07 00:01:02 +0000
22297266,1485087,2012-10-08 00:00:50 +0000
22387323,1362511,2012-10-09 00:00:58 +0000
22468389,1325565,2012-10-10 00:00:48 +0000
22567101,1345108,2012-10-11 00:00:45 +0000
22652694,1416809,2012-10-12 00:00:45 +0000
22743130,1486567,2012-10-13 00:00:46 +0000
22827281,1452367,2012-10-14 00:00:45 +0000
22917713,1380142,2012-10-15 00:00:45 +0000
22988872,1505342,2012-10-16 00:01:01 +0000
23051641,1521758,2012-10-17 00:00:42 +0000
23153939,1538961,2012-10-18 00:00:43 +0000
23249425,1538961,2012-10-19 00:00:41 +0000
23336014,2311402,2012-10-20 00:00:58 +0000
23428572,2552433,2012-10-21 00:00:43 +0000
23515370,2610041,2012-10-22 00:00:55 +0000
23582606,2525305,2012-10-23 00:00:57 +0000
23642205,2475444,2012-10-24 00:00:43 +0000
23697231,2430008,2012-10-25 00:02:33 +0000
23767454,2026178,2012-10-26 00:00:59 +0000
23827051,1477946,2012-10-27 00:02:07 +0000
23886926,1306905,2012-10-28 00:00:43 +0000
23938019,1639318,2012-10-29 00:00:43 +0000
23974368,1889974,2012-10-30 00:00:41 +0000
24018714,2009260,2012-10-31 00:00:55 +0000
24057288,2253472,2012-11-01 00:00:40 +0000
24094250,2475309,2012-11-02 00:01:04 +0000
24135766,2565060,2012-11-03 00:00:42 +0000
24181594,2542015,2012-11-04 00:00:59 +0000
24252536,2269368,2012-11-05 00:00:38 +0000
24322381,2269368,2012-11-06 00:00:44 +0000
24402607,1902042,2012-11-07 00:00:48 +0000
24484556,1673301,2012-11-08 00:00:53 +0000
24540366,1471910,2012-11-09 00:00:33 +0000
24566317,1377873,2012-11-10 00:00:37 +0000
24596846,1286184,2012-11-11 00:00:37 +0000
24633126,1286184,2012-11-12 00:00:39 +0000
24667554,1286184,2012-11-13 00:00:46 +0000
24706469,1123681,2012-11-14 00:00:52 +0000
24766704,1172233,2012-11-15 00:00:37 +0000
24812726,1172233,2012-11-16 00:00:48 +0000
24848058,1302076,2012-11-17 00:00:39 +0000
24890712,1302076,2012-11-18 00:00:33 +0000
24934799,1288618,2012-11-19 00:00:32 +0000
24980765,1288618,2012-11-20 00:00:32 +0000
25027326,1202619,2012-11-21 00:00:53 +0000
25112542,1133920,2012-11-22 00:00:43 +0000
25197355,1351345,2012-11-23 00:00:28 +0000
25258010,1420556,2012-11-24 00:00:29 +0000
25318650,1532838,2012-11-25 00:00:29 +0000
25379856,1651159,2012-11-26 00:00:29 +0000
25422133,1659028,2012-11-27 00:00:30 +0000
25452365,1659028,2012-11-28 00:00:31 +0000
25478518,1659028,2012-11-29 00:00:30 +0000
25497941,1659028,2012-11-30 00:00:29 +0000
25525124,1659028,2012-12-01 00:00:29 +0000
25561584,1659028,2012-12-02 00:00:52 +0000
25596376,1659028,2012-12-03 00:00:31 +0000
25624976,803591,2012-12-04 00:00:45 +0000
25654259,709970,2012-12-05 00:00:34 +0000
25673276,704153,2012-12-06 00:00:27 +0000
25696616,672648,2012-12-07 00:00:26 +0000
25724665,672648,2012-12-08 00:00:26 +0000
25752162,643052,2012-12-09 00:00:28 +0000
25782706,632933,2012-12-10 00:00:26 +0000
25806922,721070,2012-12-11 00:00:23 +0000
25833807,777258,2012-12-12 00:00:31 +0000
25860093,788552,2012-12-13 00:00:29 +0000
25882987,788552,2012-12-14 00:00:27 +0000
