likes,talking_about_count,created_at
16333532,567987,2012-03-12 22:50:35 +0000
16335173,567987,2012-03-13 00:00:23 +0000
16369411,513560,2012-03-14 00:00:19 +0000
16400995,487321,2012-03-15 00:00:15 +0000
16428498,487321,2012-03-16 00:00:22 +0000
16447018,466475,2012-03-17 00:00:34 +0000
16474028,447195,2012-03-18 00:00:24 +0000
16499895,356963,2012-03-19 00:00:39 +0000
16514878,299690,2012-03-20 00:00:30 +0000
16529030,268641,2012-03-21 00:00:43 +0000
16543185,243434,2012-03-22 00:00:45 +0000
16557561,229410,2012-03-23 00:00:46 +0000
16591249,214992,2012-03-25 00:00:37 +0000
16605690,209116,2012-03-26 00:00:20 +0000
16622576,197278,2012-03-28 00:00:31 +0000
16632600,188045,2012-03-29 00:00:39 +0000
16751039,146988,2012-04-09 21:23:23 +0000
16753361,146988,2012-04-10 00:00:27 +0000
16763611,146988,2012-04-10 18:51:42 +0000
16768285,146988,2012-04-11 00:00:34 +0000
16786741,138976,2012-04-12 00:00:34 +0000
16821389,141363,2012-04-13 00:00:39 +0000
16836418,187305,2012-04-14 02:30:40 +0000
16856491,202036,2012-04-15 00:00:18 +0000
16879545,192909,2012-04-16 00:00:27 +0000
16899304,203951,2012-04-17 00:00:17 +0000
16915607,211136,2012-04-18 00:00:17 +0000
16930105,217341,2012-04-19 00:00:26 +0000
16944550,217293,2012-04-20 00:00:11 +0000
16956089,179733,2012-04-21 00:00:22 +0000
16968712,179733,2012-04-22 00:00:22 +0000
16981085,179733,2012-04-23 00:00:22 +0000
16991577,151873,2012-04-24 00:00:11 +0000
16992527,151873,2012-04-24 01:02:34 +0000
16993661,151873,2012-04-24 02:45:51 +0000
17002598,146016,2012-04-25 00:00:53 +0000
17013445,131587,2012-04-26 00:00:49 +0000
17025311,126865,2012-04-27 00:00:29 +0000
17035832,105566,2012-04-28 00:00:39 +0000
17046960,104376,2012-04-29 00:00:32 +0000
17057495,123584,2012-04-30 00:00:23 +0000
17066558,104973,2012-05-01 00:00:34 +0000
17075584,104973,2012-05-02 00:00:34 +0000
17085011,104973,2012-05-03 00:00:23 +0000
17094176,104973,2012-05-04 00:00:32 +0000
17104007,125994,2012-05-05 00:00:19 +0000
17115725,121706,2012-05-06 00:00:19 +0000
17125966,127948,2012-05-07 00:00:17 +0000
17135588,128413,2012-05-08 00:00:15 +0000
17144925,128217,2012-05-09 00:00:19 +0000
17154054,124430,2012-05-10 00:00:32 +0000
17165262,120748,2012-05-11 00:00:19 +0000
17177178,123425,2012-05-12 00:00:28 +0000
17189443,125087,2012-05-13 00:00:18 +0000
17201271,119575,2012-05-14 00:00:30 +0000
17214215,118198,2012-05-15 00:00:28 +0000
17228209,120652,2012-05-16 00:00:28 +0000
17244233,128011,2012-05-17 00:00:24 +0000
17259228,184009,2012-05-18 00:00:14 +0000
17274228,190121,2012-05-19 00:00:14 +0000
17290566,194886,2012-05-20 00:00:08 +0000
17305255,233438,2012-05-21 00:00:29 +0000
17318140,243974,2012-05-21 23:45:14 +0000
17318175,243974,2012-05-21 23:48:29 +0000
17318328,243974,2012-05-22 00:00:29 +0000
17330440,243974,2012-05-22 21:49:06 +0000
17330499,243974,2012-05-22 21:52:16 +0000
17332515,243974,2012-05-23 00:00:05 +0000
17347581,245718,2012-05-23 19:06:27 +0000
17348706,245718,2012-05-23 20:09:20 +0000
17353054,245718,2012-05-24 00:00:41 +0000
17379495,190605,2012-05-25 00:01:25 +0000
17406138,191837,2012-05-26 00:00:44 +0000
17436434,204363,2012-05-27 00:02:08 +0000
17467933,204363,2012-05-28 00:00:38 +0000
17498928,182365,2012-05-29 00:00:40 +0000
17530636,197563,2012-05-30 00:00:40 +0000
17561819,211521,2012-05-31 00:00:47 +0000
17593055,229545,2012-06-01 00:01:31 +0000
17621846,240585,2012-06-02 00:00:25 +0000
17648904,242044,2012-06-03 00:00:40 +0000
17673668,242292,2012-06-04 00:00:35 +0000
17695940,240198,2012-06-05 00:00:43 +0000
17718953,232409,2012-06-06 00:00:35 +0000
17738624,232409,2012-06-07 00:00:46 +0000
17755366,235976,2012-06-08 00:00:23 +0000
17770497,231769,2012-06-09 00:00:20 +0000
17784157,221420,2012-06-10 00:00:35 +0000
17797270,221420,2012-06-11 00:00:16 +0000
17810482,195932,2012-06-12 00:00:18 +0000
17825115,186127,2012-06-13 00:00:19 +0000
17839968,162052,2012-06-14 00:00:35 +0000
17853413,148880,2012-06-15 00:00:18 +0000
17866287,134852,2012-06-16 00:00:15 +0000
17880519,131036,2012-06-17 00:00:34 +0000
17907307,140857,2012-06-19 00:32:33 +0000
17953659,158975,2012-06-22 00:00:31 +0000
17976145,161460,2012-06-23 00:00:39 +0000
17991724,160653,2012-06-24 00:00:16 +0000
18005888,157006,2012-06-25 00:00:29 +0000
18021989,156506,2012-06-26 00:00:35 +0000
18034695,158616,2012-06-27 00:00:31 +0000
18048084,151173,2012-06-28 00:00:12 +0000
18061279,151338,2012-06-29 00:00:14 +0000
18079766,148330,2012-06-30 09:15:53 +0000
18087928,148330,2012-07-01 00:00:30 +0000
18101484,159441,2012-07-02 00:00:14 +0000
18116102,159300,2012-07-03 00:00:08 +0000
18132998,158269,2012-07-04 00:00:09 +0000
18148817,157550,2012-07-05 00:00:29 +0000
18163131,156129,2012-07-06 00:00:32 +0000
18295308,168506,2012-07-15 10:37:44 +0000
18304155,168506,2012-07-16 00:00:12 +0000
18319427,277408,2012-07-17 00:00:06 +0000
18330166,373898,2012-07-17 18:57:50 +0000
18334455,373898,2012-07-18 00:01:33 +0000
18350047,373898,2012-07-19 00:00:45 +0000
18366490,373898,2012-07-20 00:01:07 +0000
18381135,437457,2012-07-21 00:00:43 +0000
18394444,437457,2012-07-22 00:00:43 +0000
18406619,453647,2012-07-23 00:00:41 +0000
18419215,449073,2012-07-24 00:11:13 +0000
18431926,350103,2012-07-25 00:01:19 +0000
