"_id"	"username"	"likes"	"checkins"	"talking_about_count"	"were_here_count"	"updated_at"			
70424008437	"Bing"	3754299	3	8160	0	"2014-02-25T00:01:06Z"			" "
44730862816	"Microsoft BizSpark"	51590	0	470	0	"2014-02-25T00:00:53Z"			" "
118196064864041	"Choose Skin Health"	34638	0	17	0	"2014-02-25T00:01:27Z"			" "
105903456114620	"Coremetrics"	46	0	1	0	"2014-02-17T00:00:46Z"			
106538166049429	"Exxon"	2611	0	8	0	"2014-02-24T00:01:06Z"			" "
98105971388	"Games for Windows LIVE"	33609	0	73	0	"2014-02-25T00:00:59Z"			" "
138602119541424	"GE"	1027625	0	6199	0	"2014-02-25T00:00:50Z"			" "
166819311126	"GE Appliances"	725948	163	18235	0	"2014-02-25T00:01:11Z"			
110119659054698	"GE Aviation"	13482	0	180	0	"2014-02-25T00:01:19Z"			
341697512652	"GE Lighting"	196224	123	248	123	"2014-02-25T00:01:13Z"			
175162296727	"Healthymagination"	54432	0	573	262775	"2014-02-25T00:01:32Z"			
124635947547429	"Hotmail"	433241	2	3182	0	"2014-02-25T00:01:29Z"			
168597536563870	"IBM"	301537	6191	4657	0	"2014-02-25T00:01:13Z"			
108016249227104	"IBM Lotus Notes"	1993	0	4	0	"2014-02-24T00:01:17Z"			
66976090302	"IBM Accessibility"	3411	0	50	0	"2014-02-25T00:01:07Z"			
307200841677	"ibmdechile"	3727	1202	47	1202	"2014-02-25T00:00:55Z"			
148217375225353	"IBMDeutschland"	6985	64	43	64	"2014-02-25T00:00:57Z"			
249766596059	"IBMIL"	5303	0	44	0	"2014-02-25T00:01:31Z"			
37296674511	"ibminnovate"	2627	304	15	304	"2014-02-23T00:01:18Z"			
166334736755644	"IBMJapan"	3242	0	680	0	"2014-02-25T00:01:18Z"			
224007044328679	"ibmmex"	7291	0	286	0	"2014-02-25T00:01:22Z"			
37812815878	"IBMPress"	1631	0	8	0	"2014-02-25T00:01:08Z"			
178023492563	"IBM Redbooks"	25947	50	248	50	"2014-02-25T00:01:03Z"			
106878175272	"IBM Research"	47576	0	1215	0	"2014-02-25T00:01:19Z"			
194937030554069	"IBM Smarter Commerce"	4944	0	98	0	"2014-02-23T00:01:02Z"			
187446750783	"IBM Watson"	44222	0	606	0	"2014-02-25T00:01:24Z"			
7703918541	"Internet Explorer"	6565842	24	10137	0	"2014-02-25T00:01:09Z"			
126297030950	"JNJ"	598827	30	2221	30	"2014-02-25T00:01:26Z"			
103766552995866	"Johnson & Johnson"	39314	7	57	0	"2014-02-25T00:01:11Z"			
201881730533	"Johnson's Baby"	1164406	3	4405	0	"2014-02-25T00:01:10Z"			
179035122168997	"Kinect Sports"	206120	0	303	0	"2014-02-25T00:01:22Z"			
20528438720	"Microsoft"	3975436	62359	68926	0	"2014-02-25T00:01:20Z"			
104411702952366	"Microsoft Flight"	8532	0	13	0	"2014-02-25T00:01:30Z"			
109521505741028	"Microsoft Japan"	81	0	0	0	"2014-02-06T00:01:07Z"			
112232565456039	"Microsoft Silverlight"	9444	0	35	0	"2014-02-25T00:01:28Z"			
52620881608	"Microsoft Advertising"	14542	503	87	0	"2014-02-25T00:01:01Z"			
85771862201	"Microsoft Citizenship"	169002	0	3121	0	"2014-02-25T00:00:51Z"			
89421301366	"Microsoft Excel"	141135	0	2628	0	"2014-02-25T00:01:30Z"			
167619282539	"MicrosoftOnlineServices"	14797	0	255	0	"2014-02-25T00:00:58Z"			
157275891006074	"Microsoft Server and Cloud Platform"	39511	0	337	0	41698			
39264578534	"Microsoft User Research"	23023	0	87	0	41698			
154046886635	"Microsoft Windows Server"	58240	0	1294	0	41698			
150915932479	"Microsoft Store"	461145	0	7021	42116	"2014-02-25T00:01:07Z"			
48324856532	"microsofttag"	23622	0	231	0	"2014-02-25T00:01:28Z"			
108550049192246	"ms.kinect"	204990	0	13	0	"2014-02-25T00:00:58Z"			
119390034743028	"msdneast"	7236	0	76	0	"2014-02-25T00:01:21Z"			
141819225850615	"Microsoft Developer"	328262	0	11711	0	"2014-02-25T00:01:27Z"			
39264578534	"msftur"	23403	16	146	132	"2014-01-06T00:00:28Z"			
49940376408	"msn"	4464457	1	130312	0	"2014-02-25T00:00:52Z"			
170030776373391	"msnarabia"	1737309	0	60570	0	"2014-02-25T00:01:19Z"			
121389567925045	"MSNBrasil"	2180034	0	28037	0	"2014-02-25T00:00:54Z"			
7209431541	"Microsoft SharePoint"	52750	0	662	0	"2014-02-25T00:01:25Z"			
7717041259	"Neutrogena"	1410836	40	3510	0	"2014-02-25T00:01:24Z"			
178191330369	"Office"	1559337	0	9715	0	"2014-02-25T00:01:00Z"			
115557231802005	"Office for Businesses"	127373	0	1707	0	"2014-02-25T00:00:56Z"			
150508884976204	"People for a Smarter Planet"	254669	0	1293	0	"2014-02-25T00:01:06Z"			
168725341247	"RationalSupport"	712	0	11	0	"2014-02-25T00:01:04Z"			
20582642681	"Sam's Club"	2147031	0	3359	1068435	"2014-02-25T00:00:58Z"			
29282006975	"Skype"	28509287	7	112710	0	"2014-02-25T00:01:26Z"			
165588384931	"sqlserver"	137951	0	2180	0	"2014-02-25T00:01:15Z"			
102038129831681	"Microsoft Visual Studio"	418981	0	22654	0	"2014-02-25T00:00:55Z"			
159616034235	"Walmart"	34511808	24889	76454	7699263	"2014-02-25T00:00:53Z"			
115244248489160	"Walmart.com"	1035208	0	6783	0	"2014-02-25T00:01:10Z"			
127217884039924	"Walmart Bentonville - S Walton Blvd"	11825	6845	155	6845	"2014-02-25T00:01:09Z"			
224338097594698	"Walmart Morrow"	8975	2452	39	2452	"2014-02-25T00:00:52Z"			
199226203466432	"Walmart Arden"	1226	1266	15	1266	"2014-02-24T00:00:56Z"			
271716549521984	"Walmart Laramie"	2752	1496	15	1496	"2014-02-25T00:01:15Z"			
237833679593316	"Walmart New Hartford"	1114	2324	21	2324	"2014-02-25T00:01:00Z"			
182233655183171	"Walmart Plattsburgh"	1004	2293	17	2293	"2014-02-25T00:00:49Z"			
151463158258118	"Walmart Chino"	2043	11554	61	11554	"2014-02-25T00:01:07Z"			
125644830861464	"Walmart Philadelphia - Roosevelt Blvd"	2650	3025	42	3025	"2014-02-25T00:01:23Z"			
189772294222	"Walmart Careers"	49463	0	646	0	"2014-02-25T00:00:51Z"			
186798111370444	"@WalmartLabs"	15443	0	1444	0	"2014-02-25T00:00:50Z"			
6547583559	"websphereportal"	894	0	4	0	"2014-02-25T00:01:20Z"			
150041268417919	"IBM WebSphere CICS Support"	1499	0	20	0	"2014-02-25T00:01:03Z"			
30968512668	"Windows"	15935206	2	119891	0	"2014-02-25T00:00:59Z"			
295235762964	"Windows 7 Themes"	69435	0	273	0	"2014-02-25T00:01:08Z"			
104110482957461	"Windows Mobile"	6460	0	27	0	"2014-02-25T00:01:29Z"			
122466014470975	"Windows Style"	15935207	0	119891	0	"2014-02-25T00:01:21Z"			
151876507175	"Windowsasia"	26586	0	126	0	"2014-02-25T00:01:12Z"			
259177211955	"Windows Azure"	402342	0	2476	0	"2014-02-25T00:01:05Z"			
8195378771	"Windows Phone"	2641485	0	33303	0	"2014-02-25T00:01:14Z"			
343983715428	"WindowsPhoneFrance"	473129	0	1718	0	"2014-02-25T00:00:54Z"			
39963827922	"wpdev"	75471	0	1658	0	"2014-02-25T00:01:16Z"			
16547831022	"Xbox"	23346893	7	101165	0	"2014-02-25T00:00:57Z"			
108206975867964	"Xbox Live"	2465724	5	287	0	"2014-02-25T00:01:04Z"			
188610817818992	"Xbox360"	1660696	1	300	0	"2014-02-25T00:01:14Z"			
104594567409	"Xbox Daily News"	548178	0	2879	0	"2014-02-25T00:01:01Z"			
13905281343	"xboxuk"	1767112	1	10992	0	"2014-02-25T00:01:02Z"			
