"pagename"	"company"	"pagename2"
"GE"	"GE"	"GE"
"GE Appliances"	"GE"	"Appliances"
"Healthymagination"	"GE"	"Healthymagination"
"GE Lighting"	"GE"	"Lighting"
"GE Aviation"	"GE"	"Aviation"
"People for a Smarter Planet"	"IBM"	"People for a Smarter Planet"
"IBM Research"	"IBM"	"Research"
"IBM Redbooks"	"IBM"	"Redbooks"
"IBM"	"IBM"	"IBM"
"IBM Smarter Commerce"	"IBM"	"Smarter Commerce"
"IBM Watson"	"IBM"	"Watson"
"IBM Accessibility"	"IBM"	"Accessibility"
"Neutrogena"	"JNJ"	"Neutrogena"
"Johnson & Johnson"	"JNJ"	"Johnson & Johnson"
"Johnson's Baby"	"JNJ"	"Johnson's Baby"
"Choose Skin Health"	"JNJ"	"Choose Skin Health"
"Xbox"	"MSFT"	"Xbox"
"Xbox Daily News"	"MSFT"	"Xbox Daily News"
"Xbox360"	"MSFT"	"Xbox360"
"Kinect Sports"	"MSFT"	"Kinect Sports"
"Windows"	"MSFT"	"Windows"
"Microsoft Visual Studio"	"MSFT"	"Microsoft Visual Studio"
"Windows 7 Themes"	"MSFT"	"Windows 7 Themes"
"Skype"	"MSFT"	"Skype"
"Microsoft BizSpark"	"MSFT"	"Microsoft BizSpark"
"Microsoft"	"MSFT"	"Microsoft"
"Microsoft Store"	"MSFT"	"Microsoft Store"
"Microsoft Developer"	"MSFT"	"Microsoft Developer"
"Windows Phone"	"MSFT"	"Windows Phone"
"Office"	"MSFT"	"Office"
"Bing"	"MSFT"	"Bing"
"Microsoft Advertising"	"MSFT"	"Microsoft Advertising"
"Office for Businesses"	"MSFT"	"Office for Businesses"
"Microsoft Server and Cloud Platform"	"MSFT"	"Cloud Server"
"Microsoft Windows Server"	"MSFT"	"Windows Server"
"Microsoft Citizenship"	"MSFT"	"Microsoft Citizenship"
"Microsoft User Research"	"MSFT"	"User Research"
"Microsoft SharePoint"	"MSFT"	"SharePoint"
"Windows Azure"	"MSFT"	"Azure"
"Windows Style"	"MSFT"	"Windows Style"
"Microsoft Excel"	"MSFT"	"Excel"
"Internet Explorer"	"MSFT"	"Internet Explorer"
"Walmart"	"WMT"	"Walmart"
"Sam's Club"	"WMT"	"Sam's Club"
"Walmart Morrow"	"WMT"	"Morrow"
"Walmart Chino"	"WMT"	"Chino"
"Walmart Bentonville - S Walton Blvd"	"WMT"	"Bentonville - S Walton Blvd"
"Walmart New Hartford"	"WMT"	"New Hartford"
"Walmart Careers"	"WMT"	"Careers"
"Walmart Plattsburgh"	"WMT"	"Plattsburgh"
"Walmart Arden"	"WMT"	"Arden"
"Walmart Laramie"	"WMT"	"Laramie"
"Walmart Philadelphia - Roosevelt Blvd"	"WMT"	"Phil., Roosevelt Blvd"
"Walmart.com"	"WMT"	"Walmart.com"
