likes,talking_about_count,created_at
200347,793,2012-07-17 18:57:10 +0000
200343,793,2012-07-18 00:00:09 +0000
200350,793,2012-07-19 00:00:07 +0000
200337,793,2012-07-20 00:00:29 +0000
200333,688,2012-07-21 00:00:06 +0000
200343,688,2012-07-22 00:00:08 +0000
200337,1067,2012-07-23 00:00:03 +0000
200352,1067,2012-07-24 00:00:20 +0000
201032,1076,2012-07-25 00:00:07 +0000
201857,1076,2012-07-26 00:00:30 +0000
201968,1067,2012-07-27 00:00:30 +0000
201959,1067,2012-07-28 00:01:15 +0000
201969,2690,2012-07-29 00:00:07 +0000
201981,2103,2012-07-30 00:01:17 +0000
201976,2121,2012-07-31 00:00:30 +0000
201975,2121,2012-08-01 00:00:29 +0000
201972,2105,2012-08-02 00:00:28 +0000
201973,1008,2012-08-03 00:00:21 +0000
201958,590,2012-08-04 00:00:24 +0000
201962,750,2012-08-05 00:00:48 +0000
201965,750,2012-08-06 00:00:46 +0000
201964,750,2012-08-07 00:00:42 +0000
201953,750,2012-08-08 00:00:43 +0000
201944,723,2012-08-09 00:00:20 +0000
201945,806,2012-08-10 00:00:20 +0000
201960,806,2012-08-11 00:00:18 +0000
201961,704,2012-08-12 00:01:10 +0000
201956,860,2012-08-13 00:00:28 +0000
201963,809,2012-08-14 00:00:30 +0000
201931,809,2012-08-15 00:00:15 +0000
201933,809,2012-08-16 00:00:16 +0000
201933,780,2012-08-17 00:00:13 +0000
201920,1232,2012-08-18 00:00:28 +0000
201903,1232,2012-08-19 00:00:14 +0000
201897,1014,2012-08-20 00:00:20 +0000
201893,1014,2012-08-21 00:00:13 +0000
201869,1008,2012-08-22 00:00:15 +0000
201858,1058,2012-08-23 00:00:12 +0000
201840,681,2012-08-24 00:00:12 +0000
201834,681,2012-08-25 00:00:12 +0000
201824,776,2012-08-26 00:00:10 +0000
201825,943,2012-08-27 00:00:24 +0000
201819,943,2012-08-28 00:00:21 +0000
201820,890,2012-08-29 00:00:40 +0000
201820,883,2012-08-30 00:00:56 +0000
201817,879,2012-08-31 00:00:35 +0000
202297,780,2012-09-01 00:00:53 +0000
203218,625,2012-09-02 00:00:39 +0000
205700,1678,2012-09-03 00:00:45 +0000
207986,3124,2012-09-04 00:00:34 +0000
210159,6008,2012-09-05 00:00:47 +0000
211906,8209,2012-09-06 00:00:35 +0000
213382,10197,2012-09-07 00:01:08 +0000
214202,11831,2012-09-08 00:00:47 +0000
215983,12727,2012-09-09 00:00:45 +0000
217699,12727,2012-09-10 00:00:59 +0000
219292,13409,2012-09-11 00:00:50 +0000
220918,13409,2012-09-12 00:00:33 +0000
222176,11603,2012-09-13 00:00:30 +0000
223322,11103,2012-09-14 00:00:39 +0000
224342,11103,2012-09-15 00:00:37 +0000
224414,11466,2012-09-16 00:00:31 +0000
224388,10931,2012-09-17 00:00:44 +0000
224364,9096,2012-09-18 00:00:34 +0000
224358,9096,2012-09-19 00:00:46 +0000
224344,6313,2012-09-20 00:00:31 +0000
224312,4786,2012-09-21 00:00:51 +0000
224293,3693,2012-09-22 00:00:35 +0000
224263,2254,2012-09-23 00:00:46 +0000
224260,2254,2012-09-24 00:00:34 +0000
224244,1787,2012-09-25 00:00:48 +0000
224203,1706,2012-09-26 00:00:55 +0000
224172,1706,2012-09-27 00:01:01 +0000
224125,1385,2012-09-28 00:00:38 +0000
224070,1198,2012-09-29 00:00:34 +0000
224024,1062,2012-09-30 00:00:55 +0000
224002,1010,2012-10-01 00:00:37 +0000
223952,767,2012-10-02 00:00:39 +0000
224342,654,2012-10-03 00:00:40 +0000
225621,654,2012-10-04 00:00:45 +0000
227086,1437,2012-10-05 00:00:36 +0000
229330,2993,2012-10-06 00:00:51 +0000
231183,4251,2012-10-07 00:00:49 +0000
233304,7185,2012-10-08 00:00:37 +0000
235274,9335,2012-10-09 00:00:47 +0000
237303,9335,2012-10-10 00:00:37 +0000
239285,13536,2012-10-11 00:00:32 +0000
241082,14619,2012-10-12 00:00:49 +0000
243994,15130,2012-10-13 00:00:51 +0000
247508,15221,2012-10-14 00:00:50 +0000
250004,16908,2012-10-15 00:00:50 +0000
250844,17842,2012-10-16 00:01:06 +0000
251257,18027,2012-10-17 00:00:47 +0000
