likes,talking_about_count,created_at
906481,9111,2012-07-17 18:57:13 +0000
906666,8789,2012-07-18 00:00:38 +0000
907720,8789,2012-07-19 00:00:34 +0000
908792,8789,2012-07-20 00:00:56 +0000
909633,9160,2012-07-21 00:00:33 +0000
910361,9160,2012-07-22 00:00:33 +0000
911061,9033,2012-07-23 00:00:30 +0000
911765,9033,2012-07-24 00:11:03 +0000
912527,9033,2012-07-25 00:00:52 +0000
913191,8609,2012-07-26 00:01:18 +0000
913919,8609,2012-07-27 00:00:54 +0000
914859,6793,2012-07-28 00:01:39 +0000
915588,6793,2012-07-29 00:00:30 +0000
916597,6520,2012-07-30 00:01:39 +0000
917947,6410,2012-07-31 00:00:51 +0000
920156,6536,2012-08-01 00:00:26 +0000
921051,7064,2012-08-02 00:00:25 +0000
921752,9694,2012-08-03 00:00:19 +0000
922439,9694,2012-08-04 00:00:22 +0000
923037,9551,2012-08-05 00:00:46 +0000
923572,9456,2012-08-06 00:00:47 +0000
924213,9456,2012-08-07 00:00:43 +0000
924799,9469,2012-08-08 00:00:44 +0000
925560,8893,2012-08-09 00:00:21 +0000
926492,7276,2012-08-10 00:00:21 +0000
926986,7581,2012-08-11 00:00:19 +0000
927720,8363,2012-08-12 00:01:11 +0000
928492,8002,2012-08-13 00:00:29 +0000
929155,8178,2012-08-14 00:00:31 +0000
930184,8178,2012-08-15 00:00:16 +0000
931476,8417,2012-08-16 00:00:17 +0000
932315,8417,2012-08-17 00:00:14 +0000
933125,8725,2012-08-18 00:00:29 +0000
933371,8719,2012-08-19 00:00:15 +0000
933704,8719,2012-08-20 00:00:20 +0000
934046,8719,2012-08-21 00:00:14 +0000
934301,8635,2012-08-22 00:00:16 +0000
934711,7738,2012-08-23 00:00:13 +0000
935052,8197,2012-08-24 00:00:13 +0000
935387,7251,2012-08-25 00:00:13 +0000
935688,6418,2012-08-26 00:00:11 +0000
936003,6418,2012-08-27 00:00:24 +0000
936359,6418,2012-08-28 00:00:21 +0000
936627,6179,2012-08-29 00:00:13 +0000
936879,5827,2012-08-30 00:00:29 +0000
937151,5230,2012-08-31 00:00:08 +0000
937429,5363,2012-09-01 00:00:27 +0000
937652,5158,2012-09-02 00:00:05 +0000
937860,5055,2012-09-03 00:00:19 +0000
938120,4995,2012-09-04 00:00:08 +0000
938371,5012,2012-09-05 00:00:20 +0000
938621,4757,2012-09-06 00:00:07 +0000
938859,4671,2012-09-07 00:00:17 +0000
939136,4185,2012-09-08 00:00:19 +0000
939370,4579,2012-09-09 00:00:18 +0000
939569,4579,2012-09-10 00:00:20 +0000
939850,4647,2012-09-11 00:00:17 +0000
940147,4647,2012-09-12 00:00:08 +0000
940373,5035,2012-09-13 00:00:05 +0000
940660,4266,2012-09-14 00:00:06 +0000
941197,4266,2012-09-15 00:00:08 +0000
941706,4744,2012-09-16 00:00:06 +0000
942529,5420,2012-09-17 00:00:19 +0000
943316,5859,2012-09-18 00:00:08 +0000
943782,5859,2012-09-19 00:00:07 +0000
944104,6535,2012-09-20 00:00:05 +0000
944443,7224,2012-09-21 00:01:02 +0000
944733,7451,2012-09-22 00:00:48 +0000
945022,7441,2012-09-23 00:00:55 +0000
945248,7441,2012-09-24 00:00:43 +0000
945523,6501,2012-09-25 00:00:58 +0000
945647,5831,2012-09-26 00:01:05 +0000
945857,5317,2012-09-27 00:01:10 +0000
945972,5317,2012-09-28 00:00:47 +0000
946019,3214,2012-09-29 00:00:44 +0000
946019,2966,2012-09-30 00:01:05 +0000
946238,4063,2012-10-01 00:00:46 +0000
946307,4145,2012-10-02 00:00:48 +0000
946520,4145,2012-10-03 00:00:50 +0000
946818,4157,2012-10-04 00:00:56 +0000
947048,4688,2012-10-05 00:00:47 +0000
947259,4718,2012-10-06 00:01:01 +0000
947481,6848,2012-10-07 00:00:59 +0000
947722,6848,2012-10-08 00:00:47 +0000
947976,7941,2012-10-09 00:00:56 +0000
948232,7990,2012-10-10 00:00:46 +0000
948481,9677,2012-10-11 00:00:42 +0000
948705,9432,2012-10-12 00:00:42 +0000
948993,9464,2012-10-13 00:00:44 +0000
949291,9464,2012-10-14 00:00:43 +0000
949497,8297,2012-10-15 00:00:42 +0000
949720,5934,2012-10-16 00:00:58 +0000
949944,5934,2012-10-17 00:00:39 +0000
950185,6783,2012-10-18 00:00:41 +0000
950367,5148,2012-10-19 00:00:39 +0000
950535,5528,2012-10-20 00:00:55 +0000
950744,4575,2012-10-21 00:00:41 +0000
950977,4575,2012-10-22 00:00:52 +0000
951613,4437,2012-10-23 00:00:55 +0000
952034,3586,2012-10-24 00:00:41 +0000
952323,4054,2012-10-25 00:02:30 +0000
952578,3689,2012-10-26 00:00:56 +0000
952873,3689,2012-10-27 00:01:58 +0000
953088,4342,2012-10-28 00:00:41 +0000
953394,4666,2012-10-29 00:00:40 +0000
953668,4764,2012-10-30 00:00:38 +0000
953967,4764,2012-10-31 00:00:52 +0000
954220,4817,2012-11-01 00:00:37 +0000
954556,4612,2012-11-02 00:01:02 +0000
954822,8847,2012-11-03 00:00:39 +0000
955141,8727,2012-11-04 00:00:56 +0000
955366,8724,2012-11-05 00:00:35 +0000
955609,8703,2012-11-06 00:00:42 +0000
955862,10029,2012-11-07 00:00:46 +0000
956232,10560,2012-11-08 00:00:50 +0000
956516,10969,2012-11-09 00:00:30 +0000
956824,7042,2012-11-10 00:00:35 +0000
957081,7172,2012-11-11 00:00:34 +0000
957337,7172,2012-11-12 00:00:36 +0000
957610,7172,2012-11-13 00:00:44 +0000
957919,7097,2012-11-14 00:00:49 +0000
958240,5786,2012-11-15 00:00:35 +0000
958549,7224,2012-11-16 00:00:45 +0000
958843,6843,2012-11-17 00:00:36 +0000
959126,6843,2012-11-18 00:00:30 +0000
959436,6880,2012-11-19 00:00:29 +0000
959751,6880,2012-11-20 00:00:29 +0000
960058,6953,2012-11-21 00:01:13 +0000
960279,4657,2012-11-22 00:01:01 +0000
960492,5147,2012-11-23 00:00:53 +0000
960720,5116,2012-11-24 00:00:48 +0000
